account_number,meter_id,site_name,period_start,period_end,read_type,consumption_kwh,demand_kw,unit_rate,total_cost,currency
ACC-DE01,MTR-DE01-A,Plant DE01 North Hall,2024-01-01,2024-02-01,Actual,184200,320.5,0.28,51576.00,EUR
ACC-DE01,MTR-DE01-B,Plant DE01 South Hall,2024-01-03,2024-02-02,Actual,97800,180.2,0.28,27384.00,EUR
ACC-DE02,MTR-DE02-A,Plant DE02 Main Building,2024-01-05,2024-02-04,Estimated,62400,110.8,0.29,18096.00,EUR
ACC-DE03,MTR-DE03-A,Plant DE03 Production,2024-01-02,2024-02-01,Actual,143600,265.0,0.28,40208.00,EUR
ACC-UK01,MTR-UK01-A,UK Office Birmingham,2024-01-01,2024-02-01,Actual,28900,52.4,0.32,9248.00,GBP
ACC-DE01,MTR-DE01-A,Plant DE01 North Hall,2024-02-01,2024-03-03,Actual,176500,318.2,0.28,49420.00,EUR
ACC-DE01,MTR-DE01-B,Plant DE01 South Hall,2024-02-02,2024-03-04,Actual,94200,179.8,0.28,26376.00,EUR
ACC-DE02,MTR-DE02-A,Plant DE02 Main Building,2024-02-04,2024-03-05,Actual,68100,112.4,0.29,19749.00,EUR
ACC-DE03,MTR-DE03-A,Plant DE03 Production,2024-02-01,2024-03-02,Actual,151200,268.5,0.28,42336.00,EUR
ACC-UK01,MTR-UK01-A,UK Office Birmingham,2024-02-01,2024-03-01,Actual,26400,51.8,0.32,8448.00,GBP
ACC-DE01,MTR-DE01-A,Plant DE01 North Hall,2024-03-03,2024-04-02,Actual,189400,322.1,0.28,53032.00,EUR
ACC-DE01,MTR-DE01-B,Plant DE01 South Hall,2024-03-04,2024-04-03,Actual,99600,181.5,0.28,27888.00,EUR
ACC-DE02,MTR-DE02-A,Plant DE02 Main Building,2024-03-05,2024-04-04,Estimated,65800,111.6,0.29,19082.00,EUR
ACC-DE03,MTR-DE03-A,Plant DE03 Production,2024-03-02,2024-04-01,Actual,148900,264.8,0.28,41692.00,EUR
